acc,recall,top,type
0.14276982065209842,0.11186542374776025,5,collaborative
0.18357112095911535,0.14531995052289914,10,collaborative
0.23026270091549395,0.1831991424912531,20,collaborative
0.3035994609838434,0.24429204196146714,50,collaborative
0.3599322062153564,0.2928825330744972,100,collaborative
0.0323965380714891,0.027661734064634715,5,content
0.05451287109456399,0.04647207266089512,10,content
0.08392259283441923,0.07104401744768207,20,content
0.13562924579414584,0.11485829406675252,50,content
0.18982259700206994,0.15924446583636914,100,content
0.0528874873233958,0.043657847593740716,5,nlp_sentence_transformer_user_profile
0.07728213605990303,0.06353413723807252,10,nlp_sentence_transformer_user_profile
0.10903963435811233,0.08873387465402718,20,nlp_sentence_transformer_user_profile
0.16245502410291318,0.13149090241888634,50,nlp_sentence_transformer_user_profile
0.20903546670741702,0.16957004716970364,100,nlp_sentence_transformer_user_profile
0.07857410777544697,0.062397348573387204,5,nlp_sentence_transformer_question
0.114040815192476,0.09042604538429572,10,nlp_sentence_transformer_question
0.1554672631037884,0.12352941057529682,20,nlp_sentence_transformer_question
0.2182876512509898,0.17434166728841202,50,nlp_sentence_transformer_question
0.2705083144631371,0.21748667604127372,100,nlp_sentence_transformer_question
0.12473778531042051,0.09984049039891835,5,nlp_sentence_transformer_question_tags
0.17330480807968549,0.13857252132691894,10,nlp_sentence_transformer_question_tags
0.22513649056027119,0.18073705540925095,20,nlp_sentence_transformer_question_tags
0.3001542030757262,0.2430803119085578,50,nlp_sentence_transformer_question_tags
0.35920981342817054,0.2935924416544016,100,nlp_sentence_transformer_question_tags
0.014166666666666666,0.09984049039891835,5,top_users
0.019566666666666663,0.13857252132691894,10,top_users
0.021566666666666668,0.18073705540925095,20,top_users
0.041133333333333334,0.2430803119085578,50,top_users
0.06988333333333335,0.2935924416544016,100,top_users


